club_name,club_number_gsi,course_name,location,address,postal_code,town,email,phone,website,holes,par,latitude,longitude,source_url,scraped_at
Golfklúbbur Akureyrar,32,Jaðarsvöllur,"Jaðar, 600 Akureyri",Jaðar,600,Akureyri,skrifstofa@gagolf.is,4622974,https://gagolf.is,18,71,65.66667222,-18.11628611,https://golfbox.dk/portal/club_info/courseGuideis.asp#/?v=1&lt=65.66667222&lg=-18.11628611&zm=12&cc=IS&r=&q=,2026-05-28T14:45:27.172256+00:00
Golfklúbbur Álftaness,4,Álftanesvöllur,"Þórukot, 225 Garðabæ",Þórukot,225,Garðabæ,info@alftanesgolf.is,7611000,https://facebook.com/golfklubburalftaness/,18,64,64.10033611,-22.0295,https://golfbox.dk/portal/club_info/courseGuideis.asp#/?v=1&lt=64.10033611&lg=-22.0295&zm=12&cc=IS&r=&q=,2026-05-28T14:45:27.172256+00:00
Golfklúbbur Ásatúns,51,Ásatúnsvöllur,"Efra-Sel, 846 Flúðum",Efra-Sel,846,Flúðum,toppurehf@simnet.is,+3548930890,,18,72,64.14112222,-20.35916111,https://golfbox.dk/portal/club_info/courseGuideis.asp#/?v=1&lt=64.14112222&lg=-20.35916111&zm=12&cc=IS&r=&q=,2026-05-28T14:45:27.172256+00:00
Golfklúbbur Bíldudals,21,Litlueyrarvöllur,"Hóll, 465 Bíldudal",Hóll,465,Bíldudal,torfijo18@gmail.com,8628475,https://facebook.com/GolfklubburBildudals/,18,70,65.6716522,-23.6200289,https://golfbox.dk/portal/club_info/courseGuideis.asp#/?v=1&lt=65.6716522&lg=-23.6200289&zm=12&cc=IS&r=&q=,2026-05-28T14:45:27.172256+00:00
Golfklúbbur Bolungarvíkur,24,Syðridalsvöllur,"Syðridalsvegur, 415 Bolungarvík",Syðridalsvegur,415,Bolungarvík,golfgbo@gmail.com,8931422,https://bolungarvik.is/golf/,18,71,66.15341111,-23.24968056,https://golfbox.dk/portal/club_info/courseGuideis.asp#/?v=1&lt=66.15341111&lg=-23.24968056&zm=12&cc=IS&r=&q=,2026-05-28T14:45:27.172256+00:00
Golfklúbbur Borgarness,12,Hamarsvöllur,"Hamri, 310 Borgarnesi",Hamri,310,Borgarnesi,gbgolf@gbgolf.is,437-2000,https://gbgolf.is,18,70,64.57363333,-21.87828333,https://golfbox.dk/portal/club_info/courseGuideis.asp#/?v=1&lt=64.57363333&lg=-21.87828333&zm=12&cc=IS&r=&q=,2026-05-28T14:45:27.172256+00:00
Golfklúbbur Brautarholts,10,Brautarholt,"Brautarholt 1, 162 Reykjavík - Dreifbýli",Brautarholt 1,162,Reykjavík - Dreifbýli,gbr@gbr.is,5666045,https://gbr.is,18,70,64.24194167,-21.88398333,https://golfbox.dk/portal/club_info/courseGuideis.asp#/?v=1&lt=64.24194167&lg=-21.88398333&zm=12&cc=IS&r=&q=,2026-05-28T14:45:27.172256+00:00
Golfklúbbur Byggðarholts,42,Byggðarholtsvöllur,"Byggðarholt, 735 Eskifirði",Byggðarholt,735,Eskifirði,joiarn@simnet.is,8924622,https://facebook.com/gbeesk/,18,70,65.08125833,-14.06400556,https://golfbox.dk/portal/club_info/courseGuideis.asp#/?v=1&lt=65.08125833&lg=-14.06400556&zm=12&cc=IS&r=&q=,2026-05-28T14:45:27.172256+00:00
Golfklúbbur Fjallabyggðar,30,Skeggjabrekkuvöllur,"Mararbyggð 41, 625 Ólafsfirði",Mararbyggð 41,625,Ólafsfirði,info@gfbgolf.is,4662611,https://gfbgolf.is,18,66,66.06739368,-18.68601453,https://golfbox.dk/portal/club_info/courseGuideis.asp#/?v=1&lt=66.06739368&lg=-18.68601453&zm=12&cc=IS&r=&q=,2026-05-28T14:45:27.172256+00:00
Golfklúbbur Fjarðabyggðar,43,Kollur,730 Reyðarfirði,,730,Reyðarfirði,stefan@egersund.is,8991137,https://facebook.com/Golfklúbbur-Fjarðabyggðar-1468711550047663,18,70,65.03359375,-14.25325003,https://golfbox.dk/portal/club_info/courseGuideis.asp#/?v=1&lt=65.03359375&lg=-14.25325003&zm=12&cc=IS&r=&q=,2026-05-28T14:45:27.172256+00:00
